name	version	license	source
getrandom	0.3.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
getrandom	0.4.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
getset	0.1.7	MIT	registry+https://github.com/rust-lang/crates.io-index
granit-parser	1.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hash32	0.2.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hashbrown	0.17.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
heapless	0.7.17	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
heck	0.4.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
heck	0.5.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
home	0.5.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
indexmap	2.14.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
is_terminal_polyfill	1.70.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
itertools	0.10.5	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
itoa	1.0.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
js-sys	0.3.105	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
lazy_static	1.5.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
libc	0.2.189	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
linux-raw-sys	0.4.15	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
lock_api	0.4.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
log	0.4.34	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
lru-slab	0.1.2	MIT OR Apache-2.0 OR Zlib	registry+https://github.com/rust-lang/crates.io-index
memchr	2.8.3	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
minimal-lexical	0.2.1	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
mio	1.2.3	MIT	registry+https://github.com/rust-lang/crates.io-index
multimap	0.8.3	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
nohash-hasher	0.2.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
nom	7.1.3	MIT	registry+https://github.com/rust-lang/crates.io-index
num-bigint	0.4.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-conv	0.2.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-integer	0.1.47	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-traits	0.2.19	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
oid-registry	0.8.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
once_cell	1.21.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
once_cell_polyfill	1.70.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
petgraph	0.6.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
pin-project-lite	0.2.17	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
postcard	1.1.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
powerfmt	0.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ppv-lite86	0.2.21	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prettyplease	0.1.25	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
proc-macro2	1.0.107	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prost	0.11.9	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prost-build	0.11.9	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prost-derive	0.11.9	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prost-types	0.11.9	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
protobuf-build	0.15.1	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
protobuf-src	1.1.0+21.5	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
quinn	0.11.11	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
quinn-proto	0.11.17	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
quinn-udp	0.5.15	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
quote	1.0.47	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
r-efi	5.3.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	registry+https://github.com/rust-lang/crates.io-index
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	registry+https://github.com/rust-lang/crates.io-index
raft	0.7.0	Apache-2.0	git+https://github.com/tikv/raft-rs?rev=8e4cef172421bf77b2ae1c26628a9531b0be41f0#8e4cef172421bf77b2ae1c26628a9531b0be41f0
raft-proto	0.7.0	Apache-2.0	git+https://github.com/tikv/raft-rs?rev=8e4cef172421bf77b2ae1c26628a9531b0be41f0#8e4cef172421bf77b2ae1c26628a9531b0be41f0
rand	0.10.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand	0.8.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_chacha	0.3.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_core	0.10.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_core	0.6.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_pcg	0.10.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rcgen	0.13.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rcgen	0.14.10	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
regex	1.13.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
regex-automata	0.4.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
regex-syntax	0.8.11	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ring	0.17.14	Apache-2.0 AND ISC	registry+https://github.com/rust-lang/crates.io-index
rustc-hash	2.1.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
rustc_version	0.4.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rusticata-macros	4.1.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rustix	0.38.44	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
rustix	1.1.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
rustls	0.23.43	Apache-2.0 OR ISC OR MIT	registry+https://github.com/rust-lang/crates.io-index
rustls-pki-types	1.15.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rustls-webpki	0.103.15	ISC	registry+https://github.com/rust-lang/crates.io-index
rustversion	1.0.23	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
scopeguard	1.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
semver	1.0.28	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde	1.0.229	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde-saphyr	1.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_core	1.0.229	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_derive	1.0.229	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_json	1.0.151	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
shlex	2.0.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
signal-hook-registry	1.4.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
slab	0.4.12	MIT	registry+https://github.com/rust-lang/crates.io-index
slog	2.8.2	MPL-2.0 OR MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
smallvec	1.16.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
socket2	0.6.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
spin	0.9.9	MIT	registry+https://github.com/rust-lang/crates.io-index
stable_deref_trait	1.2.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
strsim	0.11.1	MIT	registry+https://github.com/rust-lang/crates.io-index
subtle	2.6.1	BSD-3-Clause	registry+https://github.com/rust-lang/crates.io-index
syn	1.0.109	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
syn	2.0.119	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
syn	3.0.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
synstructure	0.13.2	MIT	registry+https://github.com/rust-lang/crates.io-index
tempfile	3.27.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
thiserror	1.0.69	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
thiserror	2.0.20	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
thiserror-impl	1.0.69	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
thiserror-impl	2.0.20	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
time	0.3.55	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
time-core	0.1.9	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
time-macros	0.2.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
tinyvec	1.13.2	Zlib OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
tinyvec_macros	0.1.1	MIT OR Apache-2.0 OR Zlib	registry+https://github.com/rust-lang/crates.io-index
tokio	1.53.1	MIT	registry+https://github.com/rust-lang/crates.io-index
tokio-macros	2.7.2	MIT	registry+https://github.com/rust-lang/crates.io-index
tracing	0.1.44	MIT	registry+https://github.com/rust-lang/crates.io-index
tracing-core	0.1.36	MIT	registry+https://github.com/rust-lang/crates.io-index
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
unicode-width	0.2.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
untrusted	0.9.0	ISC	registry+https://github.com/rust-lang/crates.io-index
utf8parse	0.2.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasi	0.11.1+wasi-snapshot-preview1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasip2	1.0.4+wasi-0.2.12	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen	0.2.128	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-macro	0.2.128	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-macro-support	0.2.128	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-shared	0.2.128	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
web-time	1.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
which	4.4.2	MIT	registry+https://github.com/rust-lang/crates.io-index
winapi	0.3.9	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
winapi-i686-pc-windows-gnu	0.4.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
winapi-x86_64-pc-windows-gnu	0.4.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-link	0.2.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.52.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.61.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-targets	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_gnullvm	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_gnu	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_gnullvm	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_gnu	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_gnullvm	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen	0.57.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
x509-parser	0.18.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
yasna	0.5.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
yasna	0.6.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
zerocopy	0.8.56	BSD-2-Clause OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
zerocopy-derive	0.8.56	BSD-2-Clause OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
zeroize	1.9.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
zmij	1.0.23	MIT	registry+https://github.com/rust-lang/crates.io-index
